image,model,avg_dist,cosine_sim,accuracy,correct,total,time,dataset
R_GImag0021.bmp,ST-Bucketed,2.085383415222168,0.999962329864502,0.02170767004341534,30,1382,7.9394683837890625,web_dataset
R_GImag0022.bmp,Original,0.5296671390533447,0.9999822974205017,0.5188133140376266,717,1382,3.2960760593414307,web_dataset
R_GImag0022.bmp,ST-Continuous,1.3574529886245728,0.9999858736991882,0.056439942112879886,78,1382,7.323323488235474,web_dataset
R_GImag0022.bmp,ST-Bucketed,1.5195368528366089,0.999984860420227,0.01808972503617945,25,1382,7.953062295913696,web_dataset
R_GImag0023.bmp,Original,91.24385070800781,0.9941150546073914,0.0,0,1382,3.227118730545044,web_dataset
R_GImag0023.bmp,ST-Continuous,57.594791412353516,0.9884757399559021,0.011577424023154847,16,1382,27.57810139656067,web_dataset
R_GImag0023.bmp,ST-Bucketed,2.0086829662323,0.9999898076057434,0.03545586107091172,49,1382,8.1323401927948,web_dataset
R_GImag0024.bmp,Original,0.5217076539993286,0.9999940395355225,0.5347322720694645,739,1382,3.3427469730377197,web_dataset
R_GImag0024.bmp,ST-Continuous,0.48552823066711426,0.9999945759773254,0.5564399421128798,769,1382,15.173149347305298,web_dataset
R_GImag0024.bmp,ST-Bucketed,1.2568740844726562,0.9999920129776001,0.1150506512301013,159,1382,7.9539384841918945,web_dataset
R_GImag0025.bmp,Original,308.46380615234375,0.9576578736305237,0.0,0,1382,3.2178707122802734,web_dataset
R_GImag0025.bmp,ST-Continuous,0.9334298372268677,0.9999776482582092,0.26410998552821996,365,1382,7.310145854949951,web_dataset
R_GImag0025.bmp,ST-Bucketed,1.133863925933838,0.9999662637710571,0.25180897250361794,348,1382,7.872065544128418,web_dataset
R_GImag0026.bmp,Original,0.6078147888183594,0.9999833703041077,0.434876989869754,601,1382,3.2462480068206787,web_dataset
R_GImag0026.bmp,ST-Continuous,1.086830735206604,0.9999812245368958,0.2141823444283647,296,1382,7.188655376434326,web_dataset
R_GImag0026.bmp,ST-Bucketed,1.5918958187103271,0.9999540448188782,0.07163531114327062,99,1382,7.972086429595947,web_dataset
R_GImag0027.bmp,Original,45.963096618652344,0.985933244228363,0.0,0,1382,3.246605157852173,web_dataset
R_GImag0027.bmp,ST-Continuous,45.68885803222656,0.9858985543251038,0.0,0,1382,7.345675468444824,web_dataset
R_GImag0027.bmp,ST-Bucketed,45.67148971557617,0.985657811164856,0.0,0,1382,7.9962334632873535,web_dataset
R_GImag0028.bmp,Original,2.173661470413208,0.9985154867172241,0.42185238784370477,583,1382,3.207364559173584,web_dataset
R_GImag0028.bmp,ST-Continuous,28.36613655090332,0.8688538670539856,0.2662807525325615,368,1382,7.354580879211426,web_dataset
R_GImag0028.bmp,ST-Bucketed,187.26266479492188,0.8786219954490662,0.0,0,1382,8.101278305053711,web_dataset
R_GImag0029.bmp,Original,0.6309695839881897,0.9999813437461853,0.4768451519536903,659,1382,3.3280253410339355,web_dataset
R_GImag0029.bmp,ST-Continuous,1.0267727375030518,0.9999746084213257,0.2742402315484805,379,1382,10.17811894416809,web_dataset
R_GImag0029.bmp,ST-Bucketed,154.19537353515625,0.9862191081047058,0.0,0,1382,12.212682247161865,web_dataset
R_GImag0030.bmp,Original,0.5340086817741394,0.9999870657920837,0.5723589001447178,791,1382,3.310849905014038,web_dataset
R_GImag0030.bmp,ST-Continuous,0.5615050792694092,0.9999858140945435,0.49855282199710566,689,1382,8.70967411994934,web_dataset
R_GImag0030.bmp,ST-Bucketed,1.1758321523666382,0.9999643564224243,0.14905933429811866,206,1382,7.833071231842041,web_dataset
R_GImag0031.bmp,Original,34.12373352050781,0.9532365798950195,0.2178002894356006,301,1382,3.6710801124572754,web_dataset
R_GImag0031.bmp,ST-Continuous,2.7460203170776367,0.9972584247589111,0.2670043415340087,369,1382,8.763482809066772,web_dataset
R_GImag0031.bmp,ST-Bucketed,40.19392013549805,0.9323309659957886,0.09479015918958032,131,1382,9.78904414176941,web_dataset
R_GImag0032.bmp,Original,0.8241678476333618,0.9999641180038452,0.36975397973950797,511,1382,3.1943519115448,web_dataset
R_GImag0032.bmp,ST-Continuous,0.8198263645172119,0.999962568283081,0.3784370477568741,523,1382,8.166809320449829,web_dataset
R_GImag0032.bmp,ST-Bucketed,1.2547032833099365,0.9999344348907471,0.19247467438494936,266,1382,8.370365619659424,web_dataset
R_GImag0033.bmp,Original,0.40376266837120056,0.9999963641166687,0.6374819102749638,881,1382,4.7402589321136475,web_dataset
R_GImag0033.bmp,ST-Continuous,0.5086830854415894,0.999995231628418,0.5832127351664255,806,1382,26.2261700630188,web_dataset
R_GImag0033.bmp,ST-Bucketed,1.319826364517212,0.9999913573265076,0.059334298118668596,82,1382,30.115346670150757,web_dataset
R_GImag0034.bmp,Original,30.70549964904785,0.9914093017578125,0.1410998552821997,195,1382,3.341449022293091,web_dataset
R_GImag0034.bmp,ST-Continuous,0.6620839238166809,0.9999939203262329,0.487698986975398,674,1382,8.262751579284668,web_dataset
R_GImag0034.bmp,ST-Bucketed,1.2937771081924438,0.9999912977218628,0.11577424023154848,160,1382,17.64100980758667,web_dataset
R_GImag0035.bmp,Original,0.4117221534252167,0.9999921321868896,0.5940665701881331,821,1382,3.4684383869171143,web_dataset
R_GImag0035.bmp,ST-Continuous,0.6201157569885254,0.9999887347221375,0.4356005788712012,602,1382,7.646084785461426,web_dataset
R_GImag0035.bmp,ST-Bucketed,1.3567293882369995,0.9999672174453735,0.06439942112879884,89,1382,8.217884540557861,web_dataset
R_GImag0036.bmp,Original,0.7199710607528687,0.9999933242797852,0.4081041968162084,564,1382,3.269369602203369,web_dataset
R_GImag0036.bmp,ST-Continuous,0.9240231513977051,0.9999849796295166,0.3581765557163531,495,1382,7.822925329208374,web_dataset
R_GImag0036.bmp,ST-Bucketed,1.2966715097427368,0.9999468922615051,0.3096960926193922,428,1382,8.26403546333313,web_dataset
R_GImag0037.bmp,Original,0.8073859810829163,0.9999904036521912,0.37988422575976843,525,1382,3.3851449489593506,web_dataset
R_GImag0037.bmp,ST-Continuous,0.7255612015724182,0.9999916553497314,0.4370477568740955,604,1382,7.893985033035278,web_dataset
R_GImag0037.bmp,ST-Bucketed,1.0897899866104126,0.9999890327453613,0.2706222865412446,374,1382,7.9985785484313965,web_dataset
R_GImag0038.bmp,Original,0.6302460432052612,0.999977171421051,0.45875542691751087,634,1382,3.2529892921447754,web_dataset
R_GImag0038.bmp,ST-Continuous,0.6410998702049255,0.9999781847000122,0.4435600578871201,613,1382,7.184118270874023,web_dataset
R_GImag0038.bmp,ST-Bucketed,332.5108642578125,0.9869611263275146,0.0,0,1382,7.660796165466309,web_dataset
R_GImag0039.bmp,Original,1.1490592956542969,0.9999735951423645,0.243849493487699,337,1382,3.1808226108551025,web_dataset
R_GImag0039.bmp,ST-Continuous,1.4963819980621338,0.99996417760849,0.17872648335745298,247,1382,7.34088659286499,web_dataset
R_GImag0039.bmp,ST-Bucketed,43.51230239868164,0.9038805365562439,0.17221418234442837,238,1382,7.815759897232056,web_dataset
R_GImag0040.bmp,Original,0.9334298372268677,0.9999901056289673,0.3661360347322721,506,1382,3.261162519454956,web_dataset
R_GImag0040.bmp,ST-Continuous,0.9269174933433533,0.9999902248382568,0.35600578871201155,492,1382,7.397375583648682,web_dataset
R_GImag0040.bmp,ST-Bucketed,1.1490592956542969,0.9999878406524658,0.24457308248914617,338,1382,7.814010381698608,web_dataset
R_GImag0041.bmp,Original,0.6707670092582703,0.9999918341636658,0.4204052098408104,581,1382,3.1735358238220215,web_dataset
R_GImag0041.bmp,ST-Continuous,0.784370481967926,0.9999876618385315,0.3835021707670043,530,1382,7.370224475860596,web_dataset
R_GImag0041.bmp,ST-Bucketed,0.9840810298919678,0.9999837875366211,0.32344428364688854,447,1382,17.693949937820435,web_dataset
R_GImag0042.bmp,Original,0.3545586168766022,0.9999972581863403,0.6577424023154848,909,1382,3.2675535678863525,web_dataset
R_GImag0042.bmp,ST-Continuous,0.26193922758102417,0.9999980926513672,0.7431259044862518,1027,1382,7.263199090957642,web_dataset
R_GImag0042.bmp,ST-Bucketed,0.8806078433990479,0.9999918937683105,0.25542691751085383,353,1382,20.164685487747192,web_dataset
R_GImag0043.bmp,Original,0.49638205766677856,0.9997787475585938,0.5434153400868307,751,1382,4.4164345264434814,web_dataset
R_GImag0043.bmp,ST-Continuous,0.6671490669250488,0.9997352361679077,0.4377713458755427,605,1382,7.347678899765015,web_dataset
R_GImag0043.bmp,ST-Bucketed,1.319826364517212,0.9993800520896912,0.08827785817655572,122,1382,7.8536553382873535,web_dataset
R_GImag0044.bmp,Original,0.97467440366745,0.9999781847000122,0.31982633863965265,442,1382,3.177048683166504,web_dataset
R_GImag0044.bmp,ST-Continuous,1.0470333099365234,0.999976634979248,0.3053545586107091,422,1382,7.580207347869873,web_dataset
R_GImag0044.bmp,ST-Bucketed,1.159913182258606,0.9999749064445496,0.2691751085383502,372,1382,8.15179181098938,web_dataset
R_GImag0045.bmp,Original,2.170043468475342,0.9991759061813354,0.26410998552821996,365,1382,3.109943389892578,web_dataset
R_GImag0045.bmp,ST-Continuous,0.9811866879463196,0.9999074339866638,0.32416787264833574,448,1382,7.4115869998931885,web_dataset
R_GImag0045.bmp,ST-Bucketed,302.97393798828125,0.9796060919761658,0.0,0,1382,8.605746269226074,web_dataset
R_GImag0046.bmp,Original,0.528219997882843,0.9999557733535767,0.4840810419681621,669,1382,3.310389280319214,web_dataset
